"job_id","input_path","array","field","value","label","quote_text"
"stage2__imprivata__EXPANDED_CLAIM_ONLY_P8__W1_SALE_PROCESS__w1_sale_process_part1__medium__r1","inputs/imprivata/W1_SALE_PROCESS/w1_sale_process_part1.json","actor_claims","actor_class","f","Thoma Bravo","Thoma Bravo"
"stage2__imprivata__EXPANDED_CLAIM_ONLY_P8__W1_SALE_PROCESS__w1_sale_process_part1__medium__r1","inputs/imprivata/W1_SALE_PROCESS/w1_sale_process_part1.json","actor_claims","actor_class","f","private equity funds affiliated with Thoma Bravo","private equity funds affiliated with Thoma Bravo"
"stage2__imprivata__EXPANDED_CLAIM_ONLY_P8__W1_SALE_PROCESS__w1_sale_process_part1__medium__r1","inputs/imprivata/W1_SALE_PROCESS/w1_sale_process_part1.json","bid_claims","bid_formality","informal","Thoma Bravo","On March 9, 2016, Thoma Bravo sent an unsolicited, non-binding indication of interest letter addressed to the Board indicating that Thoma Bravo would be interested in acquiring the Company for cash at a purchase price of $15.00 per share of Imprivata’s common stock."
"stage2__imprivata__EXPANDED_CLAIM_ONLY_P8__W1_SALE_PROCESS__w1_sale_process_part1__medium__r1","inputs/imprivata/W1_SALE_PROCESS/w1_sale_process_part1.json","bid_claims","bid_formality","informal","Sponsor A","Sponsor A indicated a price of $16.50 per share."
"stage2__imprivata__EXPANDED_CLAIM_ONLY_P8__W1_SALE_PROCESS__w1_sale_process_part1__medium__r1","inputs/imprivata/W1_SALE_PROCESS/w1_sale_process_part1.json","bid_claims","bid_formality","informal","Thoma Bravo","Thoma Bravo indicated a price of $17.25 per share, and also provided a form of equity commitment letter and draft merger agreement."
"stage2__imprivata__EXPANDED_CLAIM_ONLY_P8__W1_SALE_PROCESS__w1_sale_process_part1__medium__r1","inputs/imprivata/W1_SALE_PROCESS/w1_sale_process_part1.json","bid_claims","bid_formality","informal","Sponsor B","Sponsor B indicated a range of $17.00 - $18.00 per share."
"stage2__imprivata__EXPANDED_CLAIM_ONLY_P8__W1_SALE_PROCESS__w1_sale_process_part1__medium__r1","inputs/imprivata/W1_SALE_PROCESS/w1_sale_process_part1.json","bid_claims","bid_formality","formal","Thoma Bravo","Thoma Bravo’s bid was at a price of $19.00 per share in cash, provided for an equity commitment for the entire purchase price"
"stage2__imprivata__EXPANDED_CLAIM_ONLY_P8__W1_SALE_PROCESS__w1_sale_process_part1__medium__r1","inputs/imprivata/W1_SALE_PROCESS/w1_sale_process_part1.json","bid_claims","bid_formality","formal","Thoma Bravo","Later on July 9, 2016, Barclays received a revised written, non-binding proposal from Thoma Bravo setting forth its best and final offer of $19.25 per share, together with a revised draft of the equity commitment letter for the entire purchase price for the Company."
"stage2__imprivata__EXPANDED_CLAIM_ONLY_P8__W1_SALE_PROCESS__w1_sale_process_part1__medium__r1","inputs/imprivata/W1_SALE_PROCESS/w1_sale_process_part1.json","bid_claims","proposal_scope","whole_company","Thoma Bravo","On March 9, 2016, Thoma Bravo sent an unsolicited, non-binding indication of interest letter addressed to the Board indicating that Thoma Bravo would be interested in acquiring the Company for cash at a purchase price of $15.00 per share of Imprivata’s common stock."
"stage2__imprivata__EXPANDED_CLAIM_ONLY_P8__W1_SALE_PROCESS__w1_sale_process_part1__medium__r1","inputs/imprivata/W1_SALE_PROCESS/w1_sale_process_part1.json","bid_claims","proposal_scope","whole_company","Sponsor A","Sponsor A indicated a price of $16.50 per share."
