"candidate","job_id","input_path","relation_type","subject_label","object_label","quote_text"
"CLAIM_ONLY_P8","stage2__imprivata__CLAIM_ONLY_P8__W1_SALE_PROCESS__w1_sale_process_part1__medium__r1","inputs/imprivata/W1_SALE_PROCESS/w1_sale_process_part1.json","advises","Barclays","the Company","recommended the engagement of Barclays as the Company’s financial advisor to assist the Board in its evaluation of Thoma Bravo’s indication of interest and any other strategic alternatives that might be available to the Company."
"CLAIM_ONLY_P8","stage2__imprivata__CLAIM_ONLY_P8__W1_SALE_PROCESS__w1_sale_process_part1__medium__r1","inputs/imprivata/W1_SALE_PROCESS/w1_sale_process_part1.json","advises","Goodwin Procter LLP","the Company","representatives of the Company’s outside legal counsel, Goodwin Procter LLP (“ Goodwin ”), were in attendance."
"CLAIM_ONLY_P8","stage2__imprivata__CLAIM_ONLY_P8__W1_SALE_PROCESS__w1_sale_process_part1__medium__r1","inputs/imprivata/W1_SALE_PROCESS/w1_sale_process_part1.json","affiliate_of","private equity funds affiliated with Thoma Bravo","Thoma Bravo","private equity funds affiliated with Thoma Bravo acquired an aggregate of 1,213,066 shares of Imprivata common stock"
"CLAIM_ONLY_P8","stage2__imprivata__CLAIM_ONLY_P8__W1_SALE_PROCESS__w1_sale_process_part1__medium__r1","inputs/imprivata/W1_SALE_PROCESS/w1_sale_process_part1.json","finances","two sources of potential debt financing","Thoma Bravo","the Company permitted two sources of potential debt financing, each of which Barclays identified as parties that could potentially provide debt financing to Thoma Bravo, to join as parties under the confidentiality agreement between the Company and Thoma Bravo."
"candidate","job_id","input_path","relation_type","subject_label","object_label","quote_text"
"CLAIM_ONLY_P8","stage2__imprivata__CLAIM_ONLY_P8__W1_SALE_PROCESS__w1_sale_process_part2__medium__r1","inputs/imprivata/W1_SALE_PROCESS/w1_sale_process_part2.json","advises","Barclays","Special Committee","Barclays reviewed its financial analyses of the $19.25 per share cash consideration with the Special Committee."
"CLAIM_ONLY_P8","stage2__imprivata__CLAIM_ONLY_P8__W1_SALE_PROCESS__w1_sale_process_part2__medium__r1","inputs/imprivata/W1_SALE_PROCESS/w1_sale_process_part2.json","advises","Goodwin","Special Committee","Representatives of Goodwin reviewed the fiduciary duties of the Special Committee in connection with a potential sale of the Company."
"candidate","job_id","input_path","relation_type","subject_label","object_label","quote_text"
"CLAIM_ONLY_P8","stage2__imprivata__CLAIM_ONLY_P8__W2_MULTI_REGION__w2_buyer_group_or_transaction_structure__medium__r1","inputs/imprivata/W2_MULTI_REGION/w2_buyer_group_or_transaction_structure.json","member_of","Project Brady Merger Sub, Inc.","Parent","Project Brady Merger Sub, Inc. (“ Merger Sub ”), a Delaware corporation and wholly-owned direct subsidiary of Parent"
"CLAIM_ONLY_P8","stage2__imprivata__CLAIM_ONLY_P8__W2_MULTI_REGION__w2_buyer_group_or_transaction_structure__medium__r1","inputs/imprivata/W2_MULTI_REGION/w2_buyer_group_or_transaction_structure.json","controls","Parent","Project Brady Merger Sub, Inc.","Project Brady Merger Sub, Inc. (“ Merger Sub ”), a Delaware corporation and wholly-owned direct subsidiary of Parent"
"CLAIM_ONLY_P8","stage2__imprivata__CLAIM_ONLY_P8__W2_MULTI_REGION__w2_buyer_group_or_transaction_structure__medium__r1","inputs/imprivata/W2_MULTI_REGION/w2_buyer_group_or_transaction_structure.json","acquisition_vehicle_of","Parent","Thoma Bravo","Parent and Merger Sub were formed by an affiliate of the private equity investment firm Thoma Bravo, LLC (“ Thoma Bravo ”)."
